Cheick Diabaté
Henri Saivet
Geoffrey Kondogbia
Lucas Digne
Pape Souaré
Idrissa Gueye
Eden Hazard
Kalidou Koulibaly
Sadio Mané
Serge Aurier
Wissam Ben Yedder
Étienne Capoue
Moussa Sissoko
Faouzi Ghoulam
Kurt Zouma
Bakary Sako
Pierre-Emerick Aubameyang
Thomas Heurtaux
Molla Wagué
Fayçal Fajr
M'Baye Niang
Anthony Knockaert
Bryan Dabo
Olivier Giroud
Cheick Doukouré
Joel Campbell
Lionel Carole
Benjamin Mendy
Riyad Mahrez
Claudio Beauvue
Aïssa Mandi
Paul Baysse
Santiago Gentiletti
Samuel Souprayen
Gaëtan Bong
Arthur Masuaku
Carlos Sánchez
Diafra Sakho
Daniel Wass
Tiémoué Bakayoko
Abdoulaye Doucouré
Mario Lemina
Gabriel Peñalba
N'Golo Kanté
Sidnei
Bebé
Cenk Tosun
Emre Çolak
Alfred N'Diaye
Nordin Amrabat
Cheikhou Kouyaté
Chancel Mbemba
Lucas Biglia
Dennis Praet
Jordan Lukaku
Carlos Bacca
Maxime Lestienne
Noë Dussenne
Kevin De Bruyne
Christian Benteke
Michy Batshuayi
Imoh Ezekiel
Laurent Depoitre
Carlos Santos
Ervin Zukanović
Leandro Castán
Paulinho
Guilherme
Allan
Casemiro
Lucas Moura
Willian José
Emerson
Ganso
Felipe Anderson
Rafael Tolói
Naldo
Manuel Lanzini
Gabriel
Gabriel
Bruno Peres
Vitor Hugo
Everton Luiz
Albian Ajeti
Aleksandar Dragović
Xherdan Shaqiri
Granit Xhaka
Moritz Bauer
Dušan Pavlović
Remo Freuler
Berat Djimsiti
Silvan Widmer
Alexandru Ioniță
Fabian Schär
Olarenwaju Kayode
Armando Sadiku
Filip Helander
Celso Borges
Emil Krafth
Oscar Hiljemark
Marcus Rohdén
Alexander Sørloth
Mathias Jørgensen
Riza Durmisi
Michael Krohn-Dehli
Jens Stryger Larsen
Geoff Cameron
Beram Kayal
Sung-Yeung Ki
Victor Wanyama
Kyle Bartley
Steven Davis
Jacob Murphy
Ryan Fraser
Jay Fulton
Aaron Mooy
Markus Suttner
Kevin Wimmer
Christian Kabasele
Milan Badelj
Mateo Kovačić
Šime Vrsaljko
Ante Budimir
Duje Čop
Petar Brlek
Marcelo Brozović
Danilo
Alex Sandro
Eliaquim Mangala
Nicolás Otamendi
Steven Defour
Ezequiel Garay
Javi García
Nicolás Gaitán
Nemanja Matić
Nolito
Rodrigo
Daniel Carriço
André Carrillo
Christian Atsu
Cédric Soares
Adrien Silva
Luisinho
Paulo Oliveira
Guilherme
Rúben Semedo
João Mário
Iuri Medeiros
Victor Lindelöf
Simy
Àngel Rangel
Ashley Williams
Joe Allen
Leon Britton
Nathan Dyer
Wayne Routledge
Gylfi Sigurðsson
Ladislav Krejčí
Vlad Chiricheș
Alin Toșca
Federico Roncaglia
Sergio Araújo
Gabriel Mercado
Guido Carrillo
Duván Zapata
Lucas Castro
Luciano Vietto
Claudio Yacob
Bruno Zuculini
Ramiro Funes Mori
Germán Pezzella
José Palomino
Ángel Correa
Matías Dos Santos
Lisandro López
Guido Pizarro
Paulo Dybala
Erick Pulgar
Diego Torres
Jhojan Narváez
José Izquierdo
Johan Mojica
José Holebas
Charalampos Lykogiannis
Vasilis Torosidis
Kevin Mirallas
Konstantinos Stafylidis
Kostas Manolas
Antunes
Dimitris Siovas
Marios Oikonomou
Gaku Shibasaki
Aleksandar Tonev
Arkadiusz Milik
Mariusz Stępiński
Thiago Cionek
Bartosz Bereszyński
Piotr Zieliński
Felipe Caicedo
Nicolás Pareja
Marcos Rojo
Cristian Ansaldi
Willian
Douglas Costa
Henrikh Mkhitaryan
Fernandinho
Ivan Strinić
Nikola Kalinić
Lucas Pérez
Brown Ideye
Miguel Layún
Óscar Romero
Gianluca Lapadula
Sebastián Cristóforo
João Pedro
Maximiliano Olivera
Diego Laxalt
Diego Rolán
Matías Vecino
Islam Slimani
Ahmed Hegazy
Mohamed Elneny
Mohamed Salah
Fahad Al Muwallad
Salem Al Dawsari
Óscar Duarte
Giancarlo González
Nikola Maksimović
Darko Lazović
Luka Milivojević
Aleksandar Katai
Darko Brašanac
Aleksandar Mitrović
Ali Adnan
Nathan Aké
Samu Castillejo
Rubén Sobrino
Isaac Hayden
Benik Afobe
Andrea Conti
Fábio Costa
Daniele Rugani
Lorenzo Capezzi
Alberto Grassi
Amato Ciciretti
Aymeric Laporte
Clément Lenglet
Seko Fofana
Anthony Martial
Yannick Carrasco
Andreas Christensen
Andrew Hjulsager
Pierre-Emile Højbjerg
Andreas Cornelius
João Cancelo
André Silva
Ben Davies
Strahinja Simić
Denis Alibec
George Pușcaș
João Silva
Karol Linetty
Milan Škriniar
Nemanja Radoja
Oumar Niasse
Joachim Andersen
Alessio Romagnoli
Federico Mattiello
Danny Simpson
Valentin Eysseric
Cristian Falletti
Felipe Avenatti
Eloi Amagat
Ager Aketxe
Erik Morán
Sabin Merino
Bellerín
Stanislav Lobotka
Diego Rico
Sauli Väisänen
Calum Chambers
Marvin Zeegelaar
